Time;V ph.angle phase A;V ph.angle phase B;V ph.angle phase C
2019-03-19T01:07:46+01:00;0.530951;-1.562788;-3.006392
2019-03-19T01:07:47+01:00;-0.874337;-2.968153;-2.512495
2019-03-19T01:07:52+01:00;2.949303;0.854975;2.656667
2019-03-19T01:07:53+01:00;1.462034;-0.630234;-0.287299
2019-03-19T01:07:59+01:00;3.025074;0.930959;1.428025
2019-03-19T01:08:00+01:00;1.518845;-0.573173;1.114554
2019-03-19T01:08:05+01:00;-2.828119;1.363133;-3.033513
2019-03-19T01:08:06+01:00;2.045701;-0.046249;0.053403
2019-03-19T01:08:15+01:00;1.985864;-0.105851;-0.639259
2019-03-19T01:08:16+01:00;0.261343;-1.832883;-1.414037
2019-03-19T01:08:17+01:00;-1.814829;2.376119;-1.096254
2019-03-19T01:08:22+01:00;-0.598281;-2.692765;0.781173
2019-03-19T01:08:23+01:00;-2.689684;1.501806;2.351167
2019-03-19T01:08:26+01:00;-2.434267;1.759552;-1.500717
2019-03-19T01:08:27+01:00;2.459563;0.367514;-2.69703
2019-03-19T01:08:28+01:00;0.721495;-1.373124;-2.291637
2019-03-19T01:08:29+01:00;-0.822055;-2.916441;0.078026
2019-03-19T01:08:30+01:00;-2.447412;1.745651;-0.501241
2019-03-19T01:08:32+01:00;-1.767277;2.422707;-3.017553
2019-03-19T01:08:33+01:00;2.574863;0.484219;2.248176
2019-03-19T01:08:34+01:00;1.113738;-0.97853;0.119701
2019-03-19T01:08:39+01:00;0.217776;-1.876138;-0.540523
2019-03-19T01:08:40+01:00;-1.216024;2.976975;3.01403
2019-03-19T01:08:41+01:00;-2.619573;1.573195;-1.072844
2019-03-19T01:08:46+01:00;0.939978;-1.152638;-0.989932
2019-03-19T01:08:47+01:00;-0.363883;-2.459478;-0.56631
2019-03-19T01:08:54+01:00;null;null;-1.572482
2019-03-19T01:08:55+01:00;-0.8127;-2.907186;1.472284
2019-03-19T01:08:56+01:00;-2.19261;1.997666;-1.111923
2019-03-19T01:09:03+01:00;1.495576;-0.596904;-1.13279
2019-03-19T01:09:04+01:00;-0.222211;-2.315589;-0.543183
2019-03-19T01:09:09+01:00;2.360207;0.268902;1.085929
2019-03-19T01:09:10+01:00;0.802893;-1.289645;1.784543
2019-03-19T01:09:11+01:00;-1.187766;3.00483;-0.519088
2019-03-19T01:09:13+01:00;-0.321831;-2.414952;1.57507
2019-03-19T01:09:14+01:00;-2.018821;2.171687;-2.867174
2019-03-19T01:09:15+01:00;2.796291;0.705758;2.40927
2019-03-19T01:09:18+01:00;-1.491478;2.69905;2.889937
2019-03-19T01:09:19+01:00;3.10104;1.007198;2.05057
2019-03-19T01:09:26+01:00;3.034309;0.939615;-2.840218
2019-03-19T01:09:27+01:00;1.221977;-0.87016;-1.69775
2019-03-19T01:09:28+01:00;-0.58143;-2.676165;3.025259
2019-03-19T01:09:35+01:00;0.830793;-1.262091;-1.116212
2019-03-19T01:09:36+01:00;-0.88844;-2.982498;-1.154421
2019-03-19T01:09:37+01:00;-2.963834;null;null
2019-03-19T01:09:42+01:00;-0.818774;-2.914119;3.137347
2019-03-19T01:09:43+01:00;-2.835568;1.355986;-2.4762
2019-03-19T01:09:46+01:00;-3.012233;1.179073;-0.328299
2019-03-19T01:09:47+01:00;2.053244;-0.039173;0.738451
2019-03-19T01:09:52+01:00;2.971274;0.876991;2.34205
2019-03-19T01:09:53+01:00;1.646119;-0.447069;0.594214
2019-03-19T01:09:54+01:00;0.014817;-2.07769;-1.093509
2019-03-19T01:09:59+01:00;2.699551;0.608501;-2.729876
2019-03-19T01:10:00+01:00;1.370559;-0.721599;2.346943
2019-03-19T01:10:05+01:00;-1.621165;2.569345;-2.342311
2019-03-19T01:10:06+01:00;2.916155;0.820851;-2.278581
2019-03-19T01:10:07+01:00;1.269097;-0.82328;1.969471
2019-03-19T01:10:09+01:00;null;1.008028;-2.052613
2019-03-19T01:10:10+01:00;1.735038;-0.357203;2.210068
2019-03-19T01:10:11+01:00;0.415768;-1.678214;0.137872
2019-03-19T01:10:16+01:00;-2.290969;1.899723;-1.655177
2019-03-19T01:10:17+01:00;2.870006;0.775951;2.919563
2019-03-19T01:10:22+01:00;-1.051814;3.13939;-1.237416
2019-03-19T01:10:23+01:00;-2.341272;1.848906;0.952122
2019-03-19T01:10:24+01:00;2.585344;0.494528;1.498761
2019-03-19T01:10:27+01:00;-3.137406;1.051806;1.148166
2019-03-19T01:10:28+01:00;1.425571;-0.667503;0.249321
2019-03-19T01:10:29+01:00;0.186662;-1.908189;-0.966182
2019-03-19T01:10:30+01:00;-0.975489;-3.068381;-0.702115
2019-03-19T01:10:33+01:00;1.256136;-0.836606;-2.88076
2019-03-19T01:10:34+01:00;-0.083065;-2.175545;-1.30191
2019-03-19T01:10:40+01:00;1.84245;-0.250163;-1.95556
2019-03-19T01:10:41+01:00;0.599559;-1.494791;0.105649
2019-03-19T01:10:44+01:00;0.482985;-1.611691;-2.810314
2019-03-19T01:10:45+01:00;-0.835013;-2.929352;-2.711447
2019-03-19T01:10:46+01:00;-2.544372;1.648995;0.778045
2019-03-19T01:10:47+01:00;2.157034;0.065245;2.320962
2019-03-19T01:10:50+01:00;2.956054;0.860841;2.087229
2019-03-19T01:10:51+01:00;1.236557;-0.856261;1.218688
2019-03-19T01:10:52+01:00;null;-2.534453;-1.727486
2019-03-19T01:10:53+01:00;-2.195671;1.994844;1.549912
2019-03-19T01:10:54+01:00;2.324449;0.233228;1.507089
2019-03-19T01:10:57+01:00;-2.838701;1.352345;2.427458
2019-03-19T01:10:58+01:00;1.763448;-0.328852;-1.404677
2019-03-19T01:11:03+01:00;1.609956;-0.482365;-1.553423
2019-03-19T01:11:04+01:00;3.116338;1.022819;-2.963575
2019-03-19T01:11:10+01:00;-3.063881;1.126189;0.787655
2019-03-19T01:11:11+01:00;2.029807;-0.063302;-0.656888
2019-03-19T01:11:14+01:00;-1.513209;2.677593;-1.091873
2019-03-19T01:11:15+01:00;-2.256647;1.934206;-2.396241
2019-03-19T01:11:16+01:00;2.888989;0.794637;1.227472
2019-03-19T01:11:17+01:00;2.219944;0.127854;1.910018
2019-03-19T01:11:20+01:00;-1.558047;2.631851;0.528023
2019-03-19T01:11:21+01:00;-2.286715;1.9049;2.719498
2019-03-19T01:11:22+01:00;2.836468;0.743674;null
2019-03-19T01:11:23+01:00;1.289538;-0.803373;-0.630835
2019-03-19T01:11:24+01:00;0.526626;-1.568256;0.040244
2019-03-19T01:11:27+01:00;2.529241;0.438658;-1.408965
2019-03-19T01:11:28+01:00;1.73411;-0.357766;1.149049
2019-03-19T01:11:31+01:00;-2.056815;2.133157;-2.47058
2019-03-19T01:11:32+01:00;-2.844965;1.346167;2.562702
2019-03-19T01:11:33+01:00;2.181178;0.089687;0.921491
2019-03-19T01:11:34+01:00;1.041716;-1.051785;-0.440103
2019-03-19T01:11:37+01:00;-3.123681;1.065655;2.143503
2019-03-19T01:11:38+01:00;2.361591;0.270983;1.164523
2019-03-19T01:11:39+01:00;null;-0.43921;-2.207135
