Time;I ph.angle phase A;I ph.angle phase B;I ph.angle phase C
2019-03-19T01:10:23+01:00;-1.6494;2.674293;-1.081306
2019-03-19T01:10:24+01:00;-2.936489;1.164519;-2.462657
2019-03-19T01:10:26+01:00;null;null;-0.425877
2019-03-19T01:10:27+01:00;-2.466027;1.815687;-2.002635
2019-03-19T01:10:28+01:00;2.046075;0.206444;2.512399
2019-03-19T01:10:29+01:00;1.019861;-1.238893;1.393594
2019-03-19T01:10:30+01:00;-0.191467;-2.379785;0.196291
2019-03-19T01:10:33+01:00;1.970616;-0.336199;2.417758
2019-03-19T01:10:34+01:00;0.624414;-1.504305;1.137794
2019-03-19T01:10:39+01:00;-2.396047;1.799932;-2.025155
2019-03-19T01:10:40+01:00;2.66925;0.441452;2.986792
2019-03-19T01:10:41+01:00;1.441202;-0.620506;1.769912
2019-03-19T01:10:44+01:00;1.28043;-0.861845;1.670167
2019-03-19T01:10:45+01:00;-0.161665;-2.251292;0.413337
2019-03-19T01:10:46+01:00;-1.925923;2.594483;-1.331712
2019-03-19T01:10:47+01:00;2.922535;0.680097;-2.963178
2019-03-19T01:10:50+01:00;-2.532743;1.605521;-2.115075
2019-03-19T01:10:51+01:00;2.080939;-0.231133;2.385074
2019-03-19T01:10:52+01:00;0.387949;-1.939332;0.777392
2019-03-19T01:10:53+01:00;-1.415567;2.938434;-0.974378
2019-03-19T01:10:54+01:00;2.92683;1.109066;-2.8705
2019-03-19T01:10:57+01:00;-2.18152;2.000911;-1.62883
2019-03-19T01:10:58+01:00;2.436872;0.338516;3.110161
2019-03-19T01:11:03+01:00;2.453483;0.321661;-0.827837
2019-03-19T01:11:04+01:00;-2.409527;1.75253;2.54857
2019-03-19T01:11:09+01:00;null;null;-0.481288
2019-03-19T01:11:10+01:00;-2.370075;1.738435;-1.077572
2019-03-19T01:11:11+01:00;2.796916;0.757109;-0.139295
2019-03-19T01:11:14+01:00;-0.796796;-2.887313;0.028133
2019-03-19T01:11:15+01:00;-1.570966;2.657346;-0.127015
2019-03-19T01:11:16+01:00;-2.767139;1.434595;1.769997
2019-03-19T01:11:17+01:00;2.882384;0.940075;-0.430345
2019-03-19T01:11:20+01:00;-0.854848;-3.137431;1.018046
2019-03-19T01:11:21+01:00;-1.570683;2.516631;-0.31876
2019-03-19T01:11:22+01:00;-2.744392;1.327296;-1.950521
2019-03-19T01:11:23+01:00;2.011433;0.065542;1.392675
2019-03-19T01:11:24+01:00;1.31232;-0.872822;1.903825
2019-03-19T01:11:27+01:00;-3.012916;1.111385;-0.332583
2019-03-19T01:11:28+01:00;2.479332;0.452309;-1.960737
2019-03-19T01:11:31+01:00;-1.320297;2.757425;0.054807
2019-03-19T01:11:32+01:00;-2.095358;1.831791;3.004897
2019-03-19T01:11:33+01:00;2.998345;0.831281;-0.155564
2019-03-19T01:11:34+01:00;1.769076;-0.294837;-1.787959
2019-03-19T01:11:37+01:00;-2.356633;1.820182;-0.886475
2019-03-19T01:11:38+01:00;-3.14057;0.892893;-1.721488
2019-03-19T01:11:39+01:00;2.376909;0.211783;-2.465599
2019-03-19T01:11:40+01:00;1.259191;-0.845031;-1.844573
2019-03-19T01:11:41+01:00;0.023947;-2.085824;1.368045
2019-03-19T01:11:44+01:00;1.756061;-0.366941;2.939225
2019-03-19T01:11:45+01:00;0.539558;-1.357745;1.67448
2019-03-19T01:11:46+01:00;-0.306197;-2.306974;-1.620368
2019-03-19T01:11:47+01:00;-1.35969;2.929303;1.417301
2019-03-19T01:11:50+01:00;1.479442;-0.592585;-1.867171
2019-03-19T01:11:51+01:00;0.770368;-1.452495;2.240912
2019-03-19T01:11:54+01:00;-1.859813;2.005482;-0.697756
2019-03-19T01:11:55+01:00;2.984459;0.746277;0.358294
2019-03-19T01:11:56+01:00;2.247027;null;1.034229
2019-03-19T01:11:57+01:00;1.636849;-0.740632;0.527014
2019-03-19T01:11:58+01:00;0.494865;-1.543317;2.327412
2019-03-19T01:12:00+01:00;-2.353952;2.018876;0.269537
2019-03-19T01:12:01+01:00;-3.094884;1.100748;-2.195112
2019-03-19T01:12:02+01:00;2.539601;0.244503;2.495168
2019-03-19T01:12:03+01:00;1.598746;-0.598251;-2.156677
2019-03-19T01:12:04+01:00;1.112469;-1.277482;-0.789223
2019-03-19T01:12:07+01:00;3.135452;0.91393;-2.417119
2019-03-19T01:12:08+01:00;2.367474;0.332573;-2.598674
2019-03-19T01:12:09+01:00;1.763355;-0.256025;-2.649175
2019-03-19T01:12:10+01:00;1.081411;-1.014495;2.491079
2019-03-19T01:12:11+01:00;0.370413;-1.639423;-2.830141
2019-03-19T01:12:14+01:00;-2.637906;1.647947;0.692991
2019-03-19T01:12:15+01:00;3.055795;0.99901;-1.382557
2019-03-19T01:12:20+01:00;2.661027;0.853323;-0.566315
2019-03-19T01:12:21+01:00;1.522258;-0.657267;-1.575787
2019-03-19T01:12:24+01:00;-2.631347;1.685685;-2.157222
2019-03-19T01:12:25+01:00;2.3644;0.10529;-1.552925
2019-03-19T01:12:26+01:00;1.446567;-0.650148;2.389566
2019-03-19T01:12:27+01:00;-0.150482;-2.352343;1.212815
2019-03-19T01:12:28+01:00;-1.388924;2.869038;0.117769
2019-03-19T01:12:30+01:00;null;null;-3.073164
2019-03-19T01:12:31+01:00;-0.204882;-2.222502;2.389059
2019-03-19T01:12:32+01:00;-1.683809;2.538848;-0.125786
2019-03-19T01:12:37+01:00;2.624126;0.280276;-1.320202
2019-03-19T01:12:38+01:00;1.093873;-1.064636;-2.349365
2019-03-19T01:12:39+01:00;-0.096969;null;null
2019-03-19T01:12:41+01:00;2.242949;0.375537;-0.994373
2019-03-19T01:12:42+01:00;1.309315;-1.007395;2.287849
2019-03-19T01:12:43+01:00;-0.772639;-2.718413;2.369566
2019-03-19T01:12:44+01:00;-1.896508;2.254825;-0.48969
2019-03-19T01:12:45+01:00;2.988999;0.935147;1.881106
2019-03-19T01:12:47+01:00;-0.278582;-2.358386;1.738223
2019-03-19T01:12:48+01:00;-1.545061;2.621249;-0.071665
2019-03-19T01:12:49+01:00;-2.611331;1.616895;-0.172679
2019-03-19T01:12:50+01:00;2.37936;0.161712;-0.947278
2019-03-19T01:12:51+01:00;1.183856;-0.746571;-2.549324
2019-03-19T01:12:54+01:00;-2.56818;1.353861;0.432812
2019-03-19T01:12:55+01:00;2.534792;0.328893;-1.361266
2019-03-19T01:12:56+01:00;1.62285;-0.764421;2.932334
2019-03-19T01:13:01+01:00;-0.701923;-2.841085;0.613116
2019-03-19T01:13:02+01:00;-1.598222;2.615575;1.70729
2019-03-19T01:13:07+01:00;-1.148171;2.864369;1.270242
2019-03-19T01:13:08+01:00;-2.311578;1.856488;-0.830388
2019-03-19T01:13:09+01:00;2.298848;0.462;1.253591
